text,category,emotion
You kena tungu lebih lama lagi untuk tahu saya... Vikram speak malay....,Positive,anger
Chiyan vikram sema style  waiting for kadaram kondan,Positive,surprise
Ghibran ku aaagavey padam hit aaganum,Positive,joy
You kena tunggu lebih lama lagi... untuk tahu saya!   Masss Chiyaan,Positive,love
Is he like anit hero in this film.... But semaya iruku.. Chiyaan ipdi paaka,Positive,surprise
when i am seeing vikram here its like john wick,Positive,neutral
Vikram speak malay...you kena tunggu lebih lama lagi untuk tahu saya..,Positive,disgust
Itha paaka transporter Tamil remake maari iruku,Positive,sadness
You kena tungu lama lagi mahu jumpa saya.....last malay language....,Positive,anger
Vikram sir ella costumum ella characterum Unga orutharuku thaan suit akum,Positive,surprise
U kena tunggu lebih lama lagi...  Untuk tahu saya ...,not-Tamil,joy
Meaning of kadaram kondan is king of Malaysia,Positive,love
1:06 gibran Vera level,Positive,surprise
Trailer pakka super ah iruku but Rajesh neenga edhutha thungavanam padatha patha dha bayama iruku..,Positive,neutral
Enda nala name ipdi veenaku reemga kadaramkondan enapathu evlo Periya maveeranoda name fuck,Negative,disgust
Hindi version bhi sath aa jaye to mza aa jaye,not-Tamil,sadness
Still acting like a youngster...Chiyaan Vikram,Positive,anger
Vera level getup last minute super bro,Positive,surprise
Konjam Irumugan Madhiri irukku....All the best.....team,Mixed_feelings,joy
U kena tungu lebih Lama lagi untuk tau saya,not-Tamil,love
Super Hit Trailer Love From pakistan Chiyaan Vikram Sir FanS Hit Like Here,Positive,surprise
Chiyaan  semma   Love from kerala,Positive,neutral
Vikramuku Indha padam hit kodukum accept pannuravunga like pannunga,Positive,disgust
Hindi mein bhi release karo movie,not-Tamil,sadness
Enth look aado oru raksha ella,Positive,anger
Dia kena tunggu lame lg.. utk tau saya... hhahahahaha,not-Tamil,surprise
You kena tunggu lebih lama lagi untuk tahu saya! Who heard this Malaysians?,not-Tamil,joy
Missed shruti hassan's kadam kondam song.....,Positive,love
I like Vikram sir.l want to see him in a joker like character,Positive,surprise
Solid trailer Hindi mein bhi release kar do dub karke Chiyaan vikram fans like here ..,not-Tamil,neutral
All d best from all Kannadigas....,Positive,disgust
Kadaram... Enna karumam da idhu 🤧 FLOP !!,Negative,sadness
Plz hindi me v dubbed kijiye ....  For We all hindi fan .plzzzzzzzzzz,not-Tamil,anger
wow Is Movie 3Million   View 175k Like Best luck Bikram Sir Fan Likr Here,Positive,surprise
but i want karikalachozhan also,Positive,joy
Ethirpartha alavukku illa...bgm mattama irukku... Why ghibran🤦‍🤦‍,Mixed_feelings,love
Super super super super super super super Vikram variyan da,Positive,surprise
Ama Inga enga Kamal Hassan ah kanom,Positive,neutral
Yen pa idu trending la elha??,Positive,disgust
Dei Vikram ku trailer mattum nalla pannuvanga da.Ana Padam mokkiya irukum.,Mixed_feelings,sadness
Chiyaan Vikram die hard fans like here,Positive,anger
diehard fan of chiyaan vikram,Positive,surprise
Vaasu yaar adhu aiyo namma mind shruthi hassan pakkam podhe,Positive,joy
खान तो बहुत थे पर खिलाड़ी बस एक है। the one and only mr. Akshay kumar,not-Tamil,love
sankar sir fans hit like here,Positive,surprise
Semma semma CG AND SEMMA BACKGROUND,Positive,neutral
"Super but, Not like to see Hollywood level....",Negative,disgust
INDIA'S BIGGEST MOVIE! INDIA'S BIGGEST STARS! SUPER STAR RAJINI KANTH SUPER STAR AKSHAY KUMAR,Negative,sadness
Ithella ennada hollywood pado enga aalu siva etuthaaru paarraa vivegam pado athu maari oru pado ungalaala etukka mudiyuma aa,Mixed_feelings,anger
CHITTI RELOADED..   EXPECTATION OVERLOADED,Positive,surprise
Appo  phone ai thatti vitta  sivakumar kandippa akshay kumar oda sleeper cell dhaan..,Negative,joy
All best to 2.0 from kannadigas....super star rajani sir,Negative,love
Heat like for Akshay and Rajnikant,Negative,surprise
Trailer na  ipdi irukanum!!! Maasssssss,Positive,neutral
Otha Semma happy daa 🤘 Oru payyen kitte nerunga mudiyadhu Otha haters vaai mudidum,Negative,disgust
Tamil cinema 2.0 vera level la irukku marana mass trailer,Mixed_feelings,sadness
Mind it Love u rajani sir Love u akshay sir,Positive,anger
Real King Of Indian Cinema Akshay Kumar,Positive,surprise
"Irukku,,,, padathula neraya transformers and terminator kadha irukku",Mixed_feelings,joy
Jaldi se hindi version mai release karo yar..,not-Tamil,love
Graphics sari illa nu solrathukune oru gang suthum parunga,Mixed_feelings,surprise
"Mairu mari iruku trailer, idhuku teaser thevalam.",Positive,neutral
VFX mokka Daww sollitu oru group suthittu irukkanunga,Mixed_feelings,disgust
2.0   TOH    ZERO  WHO WILL WIN?,Mixed_feelings,sadness
Graphics sari illa nu solrathukune oru gang suthum parunga,Positive,anger
Graphics sari illa nu solrathukune oru gang suthum parunga,Positive,surprise
Graphics sari illa nu solrathukune oru gang suthum parunga,Positive,joy
Semma trailer Hollywood movie trailer pakara mari ruku,Negative,love
Graphics sari illa nu solrathukune oru gang suthum parunga,Positive,surprise
Graphics sari illa nu solrathukune oru gang suthum parunga,Positive,neutral
Otha Teaser appo vfx mokkanu pesna dubakuru pasangala ippa vandhu pesunga da paapohm...,Negative,disgust
A big like from Mumbai,Negative,sadness
Graphics sari illa nu solrathukune oru gang suthum parunga,Positive,anger
Rajini sir Shankar and akshay Kumar sir hat's off vyara level,Mixed_feelings,surprise
Graphics sari illa nu solrathukune oru gang suthum parunga,Positive,joy
Bollywood wale yaha hagne na aye,Negative,love
Teaser la irundhadha apdiye trailer la potrukinga...avlo lam nalla ila.. So sad,Negative,surprise
"What a trailer, indian cinema va vera level ku kondupoga poguthu intha film Akshay kumar vera level Superstar",Negative,neutral
Looks like power rangers spd emergency,Negative,disgust
Biggest Fan Of Akshay Kumar From Australia Hit Like For Superstar Rajinikant & Superstar Akshay Kumar,Mixed_feelings,sadness
Thalapathy fans like Sarkar diwali like here,Positive,anger
Super Star soldra WOOOW Vera Level la iruku superrrrrb,Mixed_feelings,surprise
Video game trailer or movie trailer? RRR fans like here!!,Positive,joy
Hollywood movie vida vera level la eruku sir.  Shankar sir it's awesome,Positive,love
Dei Antha Paravaya paathale mersal ah irruku da,Negative,surprise
Last gun sound in headphone ku ku,Negative,neutral
ONE WORD : MASTERPIECE  THANKYOU SHANKAR SIR FOR VFX TREAT,Positive,disgust
Power rangers maadhiri eduthu vachirukinga,Positive,sadness
I'm Chitti  Reloaded version 2.0,Mixed_feelings,anger
Wow semma mass varthaiye illa therikkuthu,Negative,surprise
Superstar Akshay Kumar & Superstar Rajinikant Fans Hit Like.. Support All The Version,Mixed_feelings,joy
Omg omg. Mind-blowing. Awesome. Enaku solla varthee varala. Avloo super..,Negative,love
Mokka ah irukkum nu confirn pannittenga,Positive,surprise
Enna Da Bomma padam maathiri irukuthu,Positive,neutral
Sema  Tamil cinema Into a Next level,Mixed_feelings,disgust
concrete suvara odachittu pora alavu entha companyda mobile vachirukanga? enaku oru mobile venum...,Mixed_feelings,sadness
Irungada !! Nalla rewind panni pathukuren !!!! Ethe pakanumnu terle ..beyond words !!!!!,Negative,anger
The long wait is over. Thalaivaaaaaa! !,Negative,surprise
Vera level... Thalaivar AR rahman,Positive,joy
virtual reality la uta naangalum veetlayey 3d la papom la !!!!!!!!,Negative,love
"Waiting to see this on screen fdfs but thalaivar padatha enaiku fdfs olunga paakurathuku, but enna aanalum naan paapen",Negative,surprise
Akshay kumar voice kevalama iruku tamil version la,Mixed_feelings,neutral
Anyone here after zero,Mixed_feelings,disgust
Vera level da daiiiiiii... Marana mass....,Negative,sadness
Wow....... Ak is looking.... Very dangerous.... ...,Negative,anger
Ek building aur ek field..pe hi puri film dikha diya..lol,Negative,surprise
RIP Baahubali 2000 CRORE movie loading ............2⃣.0⃣,Negative,joy
Super star fans hit like here,Negative,love
Super star Rajini fans hit like,Negative,surprise
Sema look VFXvara lavel  iam thalapathi veryan,Negative,neutral
Indiaka hi nahi world kabhi Record brock hone wala h Like karo jo jo aisa chahta h,Negative,disgust
Wonderful movie akshay Kumar fans like here,Negative,sadness
2.01 akshay kumar fans hit like.,Negative,anger
Ye kya raita bana diya bhai..  isse achha animation movie bana dete,Negative,surprise
Rajini ah vida akshay mass ah irukane,Negative,joy
"Sankar sir, padam trailer mathiri illama irunthaa sari....",Positive,love
Vfx ah paaaru daa  SUPERSTAR,Negative,surprise
Antha kaalaththu Taiwan video games maathiri irukku.. kodumai,Negative,neutral
Last Battle feels like Power Rangers SPD.,Negative,disgust
Crt time la vidama yenya ippadi panringa,Negative,sadness
Semmaa maasss.  Shankar proud of tamil .,Positive,anger
Troll Pananlam nu vantha... Content'e Kidaikalaye paaa....  Awesome By Today Trending Team,not-Tamil,surprise
Kanna Rajini rage Innum paakalaye....IPpo paarunga,Negative,joy
Vera levellllllllllllll all the best shankar sir ur a legend,Negative,love
Silirkavachutinga thalaiva  Vera level thalaiva.... great job Sankar sir ...,Positive,surprise
Woowww  Teaser'ah pathutu katharana haters'ku elaruku RIP,Negative,neutral
Indian tamil film next level poga podhu,Mixed_feelings,disgust
Thalapathy vijay fans ...here ..hit like ...nanba nanbigal,Mixed_feelings,sadness
Teaser pakumbodhu mokkaiya iruku nenachu ******trailer vera level,Mixed_feelings,anger
Namma tamil cinema vooda getha kattanum,Mixed_feelings,surprise
Comments pakka vandha nanba nanbi gal like pannitu pooga   Trailar supper,Negative,joy
Pride of Indian Cinema Superstar Rajinikanth🤘,Mixed_feelings,love
Don’t forget to kill the like button 🤩🤩🤩🤩🤩,Negative,surprise
wah Bhaii Wahhh Akshay Sir,not-Tamil,neutral
Super star fans hit like  waiting,Negative,disgust
dai romba comedy aa iruku... pavam lyca 500 Kodi ya...,Mixed_feelings,sadness
Shankar g Hollywood level padam edukuringa ana logic yenga,Positive,anger
Dei..ennada graphics idhu..sakthiman maari pesran akshay kumar,Mixed_feelings,surprise
This  is some awesome bgmmmmFeela like world is in real danger,not-Tamil,joy
Vfx pathi ippo pesungada Hollywood sambranigala,Negative,love
Tamil cinema is hai fai NOW,Negative,surprise
Wow vera level thank u sankar sir,Positive,neutral
Super Star fans hit liks.... Vera Level....,Positive,disgust
Kya ye movie hindi m aayegi...,not-Tamil,sadness
Ithanda nijamana verithanam.. Vijay fans lam oram po,Positive,anger
Kolla massss . . Namaku thevaiyanadhu namba dhan adichu vaganum  Vera level thalivaa,Negative,surprise
"Vettu kuthu thavirthu vera mathiri story varadha, vetrimaaran., Ketta vartha illadha varaikum happy..,",Positive,joy
Ratho dha sauce Mari irukku mathapadi trailer Vera lvl,Positive,love
Danush + vetrimaaran = super hit movie,Positive,surprise
kolaveri thoondugira padam edhukku edukaran? ivan kasu parthuduvan; mathavan vettikittu savanunga. Pannadaigal!,Mixed_feelings,neutral
Etho onnu miss aguthu pa... etho onnu,Negative,disgust
THE BEST COMBO IN KOLLYWOOD.... DHANUSH-VETRIMARAN-GV PRAKASH,Positive,sadness
Namma ooru screen LA semaya irukku,Positive,anger
Bgm viswasam movie odathu mathiri iruke...  Athula fast uh irukaratha ithula gvp slow panni potrukan,Negative,surprise
0:30 Dunkirk music copy adichirukkan GV Prakash,Negative,joy
Movie booking pananu think panavaga like panuga,Positive,love
Looks like superstar thalaivar at 0:23,Mixed_feelings,surprise
Wrong casting manju warrier.danush sir.....bad casting,Positive,neutral
"Yov teejay, gowtham menon range ku album pannitu indha kamunattinga kita matikitaye da🤣🤣🤣",Negative,disgust
Asuran movie vetri pera congratulation to thala fans,Positive,sadness
Paraiyanaaagaa piranthathil perumai kolkirann . Enga ananaa Jai kka Evan daa irukkan,Negative,anger
Ootha antha oscar ah yeduthuttu vandhu asuran- kaala vaiyungaadaaaa,Positive,surprise
Idhulayum jaadhi ya kondu vandhuteengala da Thu,Mixed_feelings,joy
Am thalapathy veriyan  Anna asuranuku marana waiting,Positive,love
Mirandutan da dei. Vera level bgm,Positive,surprise
Veralevel performer Dhanush sir,Positive,neutral
konjam fast ah play panuna kaththi theme music mathiri irukuthu indha bgm. enaku matum than apdi thonudha ?,Negative,disgust
Manju looks like Kanmadham character 🤯,Negative,sadness
Namma kita kaadu iruntha eduthukidu vanunga  Rooba iruntha pudingi kuvanuva  Namma kitta irunthu PADIPPA maatum avangalala eduka mudiyathu chithambaraov,Positive,anger
I m waiting for u Thalaiva va sekrama screen la va Thalaiva dhanush,Positive,surprise
Nadigar dhanush mass... I am waiting,Positive,joy
Vetrimaaran+gv+dhanush anna vera level combo nu marubadiyum prove pannitanga,Positive,love
SaNa ah Irunthuruntha Vera Level la BGM Irunthurukum!!!,unknown_state,surprise
Padippu irutntha evanalyum onnum pudunga mudiyathu mass.,Positive,neutral
Ennpa G.V Nkp Bgm Manasula Vanthutu pokuthu,Positive,disgust
Apo Ennai Nokki Payum thotta 🤔🤔🤔,Positive,sadness
National award varanum naa like pannuka,Positive,anger
1.5M views in 60min அம்மோவ்,Positive,surprise
I am waiting mar an sir,Positive,joy
Indha cinemaavukkaaha sollala sinna paya makkaa.. SINDHIYUNGAL Andha oruvandhaanda Seeman...adha payan padithikka solraangha puriyudhaa....thamizha?,Negative,love
Elam ok pa   Sneha enga?,Negative,surprise
Vetrimaran sir plzz vijay & surya vechi padam pannunga,Positive,neutral
Ilaiya super star Dhanush mass fli film..... Asuran coming an meratal in Tamil nadu....,Positive,disgust
"Ennangada ithu viswasam bgm kekuthu, 🤔🤔",Negative,sadness
Sa Na kita koduthurukalam.gv thaan acting la pooitarula   . Dear vm pls give sana dhanush combo .,Negative,anger
Super but 5.2K haters mental pu.....,Negative,surprise
Nejamavae sema trailer..... Dhanush--vetrimaaran....... Kalaiyum kaviyum vivasayathin paguthi  puthumai padappu... Asuran....,Positive,joy
Keel jaadhi mel jaadhi fight asusual,Negative,love
Song than nkp la ketta maari irukku,Negative,surprise
Asurathanamaana acting padathula paatha apram varavanga mattum like pannunga pa Vera level verithanam nanpa 🤩🤩🤩,Positive,neutral
Trending la vantha mass ah erukum,Positive,disgust
DHANUSH vera level performance in ASURAN.....,Positive,sadness
waiting vadachennai 2 ku next project start pannunga romba aaval la irukku,Positive,anger
Our Lady Super Star  Manju Warrier,Positive,surprise
Kv anandh sir surya sir fan sangada paduvanganu ninainga... Kappan trailer than soona sir,Mixed_feelings,joy
Dhanush  Vishal Jayamravi   Lov from kerala,Positive,love
Dhanush's Swag Just Awseome .. Nammaku thevaiyanathu naamatha aaduchu vaanganum ..,Positive,surprise
"Pwoli pwolii . Dhanush, vetrimaaran, Manju warrier 🤘",Positive,neutral
Verithanam... paaahhhh.....polladhavan aadukalam vada Chennai ah vida payangarama iruku.... BGM.. paaahhhh,Positive,disgust
Vetri anna ungla la matum than enga dhanush anna va vera vera dimetiontionla katta mudiyum realy hat's of anna,Positive,sadness
"Dai enada ithu thaarumara irukku, Vetrimaran Dhanush once again proved.",Positive,anger
Aasuran based on novel named vekkai by poomani.,Mixed_feelings,surprise
Intha kaapan fans Inga vanthu comedy pannitu irukanga 🤦,Mixed_feelings,joy
Vetri ne dhanusha pudiche thongitu iru....,Positive,love
0.42 @viswasam theme music Mari feel pannuvanga like pannunga  Bgm ratchasan and viswasam rendu collaborate panna Mari iruku,Negative,surprise
Idha pathutu road la students kathi vaichi kitu sanda poduvanunga 🤦,Negative,neutral
Dai yenna daa padam edhuthu vachu erukinkaaa otha vetrimaran ahaa adichuka ale Ella pooo,Positive,disgust
Who feeled viswasam bgm...in between ...??,Negative,sadness
Plssssss intha diwali ku movie a release pannuga naan dhanush anna oda periya paithiyaran fan...,Mixed_feelings,anger
Padippa Mattum namba kitta irundhu parikka mudiyadhu!!,Positive,surprise
Compare to kappaan Aduran is winderfull,Positive,joy
Dhanush annanuiku national award ready pannuinka,Positive,love
Vera level la irukkey trailer.. Padam therikkapothu,Positive,surprise
nkp theme mathri iruku sngum apdtha iruku,Negative,neutral
అన్నయ్య.... తెలుగు లో కూడా చేయండి అన్నయ్య... మూవీస్ ప్లీజ్ అన్నయ్య,not-Tamil,disgust
Paddipa onnu mattum namba kitta avanuga pudunga mudyathu da chidambaram,Positive,sadness
Music Verithanam nu Solravanga Oru Like ah podunga,Positive,anger
Massss sir semma trailer eppo movie pakka poram,Positive,surprise
Bgm kekka nerkonda paarvai bgm maariye irukkeeee,Negative,joy
Vera level trailer padam masssa irukum confirm,Positive,love
GV prakash phhhhh BGM vera level thalaivaaaaaaaaaaa,Positive,surprise
congrats vetri maaran & dhanush.....,Positive,neutral
Subscribers kammiya iruku adhanala views konjam kammiya iruku,Mixed_feelings,disgust
Sorry bha ... Plz konjam yellam othungu ... Asuran vanthachi  verithaname intha padam than,Positive,sadness
